epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.99848,5.19083,60.3869,3.10966,0,0,0,0,0.003,14.1604,0.0017,0,0,0
2,3.90141,6.76367,29.2048,4.27772,0,0,0,0,0.003,14.1633,0.0017,1.41485e-05,1.41485e-05,1.41485e-05
3,5.62398,6.78164,15.4342,4.28607,0,0,0,0,0.003,14.1594,0.0017,2.80141e-05,2.80141e-05,2.80141e-05
4,7.35032,6.62653,20.0811,4.81354,0,0,0,0,0.003,14.1495,0.00169,4.15968e-05,4.15968e-05,4.15968e-05
5,9.04632,6.87721,28.3929,4.34412,0,0,0,0,0.00299,14.1461,0.00169,5.48965e-05,5.48965e-05,5.48965e-05
6,10.753,6.74187,14.5282,4.18393,0,0,0,0,0.00299,14.1413,0.00169,6.79132e-05,6.79132e-05,6.79132e-05
7,12.632,6.51508,14.5268,4.43658,0,0,0,0,0.00299,14.1485,0.00169,8.0647e-05,8.0647e-05,8.0647e-05
8,14.5082,6.79318,22.3102,4.1855,0,0,0,0,0.00299,14.143,0.00169,9.30979e-05,9.30979e-05,9.30979e-05
9,16.328,6.87918,26.7885,3.88817,0,0,0,0,0.00299,14.1328,0.00169,0.000105266,0.000105266,0.000105266
10,18.2506,6.9486,28.4263,4.05891,0,0,0,0,0.00299,14.1272,0.00169,0.000117151,0.000117151,0.000117151
11,20.2335,6.60352,15.6752,3.93828,0,0,0,0,0.00298,14.1271,0.00169,0.000128753,0.000128753,0.000128753
12,22.2543,6.40415,13.0341,3.86716,0,0,0,0,0.00298,14.121,0.00169,0.000140072,0.000140072,0.000140072
13,24.0917,6.38451,21.4776,3.53713,0,0,0,0,0.00298,14.1094,0.00168,0.000151108,0.000151108,0.000151108
14,25.881,6.27386,15.7954,3.80786,0,0,0,0,0.00297,14.1033,0.00168,0.000161861,0.000161861,0.000161861
15,27.5813,6.70299,40.052,3.68917,0,0,0,0,0.00296,14.1016,0.00168,0.000172332,0.000172332,0.000172332
16,29.3418,6.28466,12.0327,3.38753,0,0,0,0,0.00296,14.0953,0.00168,0.000182519,0.000182519,0.000182519
17,31.0666,6.46081,20.2221,3.48678,0,0,0,0,0.00295,14.0871,0.00167,0.000192423,0.000192423,0.000192423
18,32.7503,5.37284,10.8223,3.05154,0,0,0,0,0.00295,14.0871,0.00167,0.000202045,0.000202045,0.000202045
19,34.7636,5.00067,11.9334,3.12961,0,0,0,0,0.00293,14.0818,0.00166,0.000211383,0.000211383,0.000211383
20,36.576,4.97552,10.9418,2.80778,0,0,0,0,0.00293,14.0818,0.00166,0.000220439,0.000220439,0.000220439
21,38.6302,6.52426,17.13,3.59694,0,0,0,0,0.00291,14.07,0.00166,0.000229212,0.000229212,0.000229212
22,40.4,4.50779,9.37614,3.2069,0,0,0,0,0.00291,14.07,0.00166,0.000237701,0.000237701,0.000237701
23,42.1316,6.00769,12.8517,3.05235,0,0,0,0,0.0029,14.0587,0.00165,0.000245908,0.000245908,0.000245908
24,43.8293,4.36982,7.90589,3.22672,0,0,0,0,0.0029,14.0587,0.00165,0.000253832,0.000253832,0.000253832
25,45.824,5.84154,10.2152,3.30262,0,0,0,0,0.00287,14.051,0.00163,0.000261473,0.000261473,0.000261473
26,47.5156,3.83563,7.076,3.09817,0,0,0,0,0.00287,14.051,0.00163,0.000268831,0.000268831,0.000268831
27,49.1636,4.42294,6.38004,3.86527,0,0,0,0,0.00285,14.0418,0.00163,0.000275906,0.000275906,0.000275906
28,50.8729,5.21325,9.36739,3.30957,0,0,0,0,0.00285,14.0418,0.00163,0.000282698,0.000282698,0.000282698
29,52.73,4.74256,8.1089,3.05872,0,0,0,0,0.00283,14.0277,0.00161,0.000289207,0.000289207,0.000289207
30,54.659,5.02691,8.2999,3.00618,0,0,0,0,0.00283,14.0277,0.00161,0.000295433,0.000295433,0.000295433
31,56.5103,4.3772,7.83453,2.60938,0,0,0,0,0.0028,14.0178,0.0016,0.000301376,0.000301376,0.000301376
32,58.2291,4.13154,7.25726,2.90656,0,0,0,0,0.0028,14.0178,0.0016,0.000307036,0.000307036,0.000307036
33,59.9493,4.19308,6.40986,2.73345,0,0,0,0,0.00278,14.0027,0.00159,0.000312414,0.000312414,0.000312414
34,61.9145,4.04982,6.45246,2.34368,0,0,0,0,0.00278,14.0027,0.00159,0.000317508,0.000317508,0.000317508
35,63.7316,3.78238,8.94836,3.11943,0,0,0,0,0.00275,13.9862,0.00158,0.00032232,0.00032232,0.00032232
36,65.3864,3.56787,4.84077,2.41927,0,0,0,0,0.00275,13.9862,0.00158,0.000326848,0.000326848,0.000326848
37,67.1572,3.83469,6.3032,2.55035,0,0,0,0,0.00273,13.9693,0.00156,0.000331094,0.000331094,0.000331094
38,68.8196,3.30146,5.09855,2.4545,0,0,0,0,0.00273,13.9693,0.00156,0.000335056,0.000335056,0.000335056
39,70.6906,3.5549,5.06984,2.76818,0,0,0,0,0.00271,13.9567,0.00155,0.000338736,0.000338736,0.000338736
40,72.5199,3.96985,4.6847,2.36768,0,0,0,0,0.00271,13.9567,0.00155,0.000342133,0.000342133,0.000342133
41,74.2826,4.7378,6.74723,2.74696,0,0,0,0,0.00268,13.9377,0.00154,0.000345246,0.000345246,0.000345246
42,76.0142,4.14752,6.96056,2.44186,0,0,0,0,0.00268,13.9377,0.00154,0.000348077,0.000348077,0.000348077
43,77.8409,4.36573,5.99724,2.40617,0,0,0,0,0.00266,13.9197,0.00153,0.000350625,0.000350625,0.000350625
44,79.5263,3.99274,4.70964,2.32327,0,0,0,0,0.00266,13.9197,0.00153,0.00035289,0.00035289,0.00035289
45,81.7066,3.96926,5.92975,2.29485,0,0,0,0,0.00263,13.8992,0.00152,0.000354872,0.000354872,0.000354872
46,83.6452,3.79629,4.85682,1.96297,0,0,0,0,0.00263,13.8992,0.00152,0.000356571,0.000356571,0.000356571
47,85.3476,4.01117,4.88751,1.90367,0,0,0,0,0.00261,13.8818,0.0015,0.000357987,0.000357987,0.000357987
48,87.0462,3.84126,5.58052,2.1725,0,0,0,0,0.00261,13.8818,0.0015,0.000359121,0.000359121,0.000359121
49,88.7796,3.53295,4.39225,2.01129,0,0,0,0,0.00258,13.8553,0.00149,0.000359971,0.000359971,0.000359971
50,90.8195,3.64806,4.42272,2.00988,0,0,0,0,0.00258,13.8553,0.00149,0.000360538,0.000360538,0.000360538
51,92.5529,2.5658,3.60605,1.95331,0,0,0,0,0.00255,13.8313,0.00147,0.000360822,0.000360822,0.000360822
52,94.2879,2.84928,4.96635,2.17201,0,0,0,0,0.00255,13.8313,0.00147,0.000360824,0.000360824,0.000360824
53,95.9892,2.95149,4.00462,2.09949,0,0,0,0,0.00255,13.8313,0.00147,0.000360542,0.000360542,0.000360542
54,97.6755,3.35714,4.42899,2.22051,0,0,0,0,0.00252,13.8036,0.00146,0.000359978,0.000359978,0.000359978
55,99.3439,2.9182,3.69054,1.80572,0,0,0,0,0.00252,13.8036,0.00146,0.000359131,0.000359131,0.000359131
56,101.019,2.9032,3.7314,1.95186,0,0,0,0,0.00252,13.8036,0.00146,0.000358,0.000358,0.000358
57,102.757,3.54555,4.5359,2.15298,0,0,0,0,0.00248,13.7657,0.00144,0.000356587,0.000356587,0.000356587
58,104.619,3.03399,3.96035,1.67544,0,0,0,0,0.00248,13.7657,0.00144,0.000354891,0.000354891,0.000354891
59,106.321,2.91025,3.9449,1.92025,0,0,0,0,0.00248,13.7657,0.00144,0.000352912,0.000352912,0.000352912
60,108.044,3.53401,5.10298,2.04337,0,0,0,0,0.00245,13.7296,0.00142,0.000350649,0.000350649,0.000350649
61,109.734,3.04653,3.71431,1.79038,0,0,0,0,0.00245,13.7296,0.00142,0.000348104,0.000348104,0.000348104
62,111.452,3.62124,3.8093,1.76796,0,0,0,0,0.00245,13.7296,0.00142,0.000345276,0.000345276,0.000345276
63,113.278,3.96149,5.13812,2.02114,0,0,0,0,0.00242,13.6897,0.00141,0.000342165,0.000342165,0.000342165
64,114.997,3.61647,4.25066,1.96493,0,0,0,0,0.00242,13.6897,0.00141,0.000338772,0.000338772,0.000338772
65,116.697,3.51196,3.91304,1.61159,0,0,0,0,0.00242,13.6897,0.00141,0.000335095,0.000335095,0.000335095
66,118.412,3.22368,3.61239,1.64778,0,0,0,0,0.00238,13.6473,0.00139,0.000331135,0.000331135,0.000331135
67,120.081,3.09611,3.51756,1.8533,0,0,0,0,0.00238,13.6473,0.00139,0.000326892,0.000326892,0.000326892
68,122.15,2.51899,3.77114,1.79537,0,0,0,0,0.00238,13.6473,0.00139,0.000322367,0.000322367,0.000322367
69,124.145,3.10591,3.90529,1.83878,0,0,0,0,0.00237,13.5964,0.00138,0.000317558,0.000317558,0.000317558
70,126.064,2.92887,3.52263,1.70592,0,0,0,0,0.00237,13.5964,0.00138,0.000312467,0.000312467,0.000312467
71,127.908,2.95914,3.8132,1.73718,0,0,0,0,0.00237,13.5964,0.00138,0.000307092,0.000307092,0.000307092
72,129.814,3.0255,3.68354,1.68665,0,0,0,0,0.00235,13.551,0.00137,0.000301435,0.000301435,0.000301435
73,131.681,3.19556,4.55987,1.97312,0,0,0,0,0.00235,13.551,0.00137,0.000295494,0.000295494,0.000295494
74,133.584,2.57393,3.21221,1.55714,0,0,0,0,0.00235,13.551,0.00137,0.000289271,0.000289271,0.000289271
75,135.517,2.37536,2.80951,1.50667,0,0,0,0,0.00234,13.506,0.00137,0.000282765,0.000282765,0.000282765
76,137.369,2.39681,3.1916,1.4161,0,0,0,0,0.00234,13.506,0.00137,0.000275976,0.000275976,0.000275976
77,139.257,2.57618,3.43555,1.63665,0,0,0,0,0.00234,13.506,0.00137,0.000268904,0.000268904,0.000268904
78,141.326,2.48504,3.24469,1.71126,0,0,0,0,0.00233,13.4591,0.00136,0.000261548,0.000261548,0.000261548
79,143.237,3.18264,3.22173,1.54914,0,0,0,0,0.00233,13.4591,0.00136,0.00025391,0.00025391,0.00025391
80,145.162,2.07676,2.81337,1.38588,0,0,0,0,0.00233,13.4591,0.00136,0.000245989,0.000245989,0.000245989
81,146.939,3.13013,3.3842,1.61259,0,0,0,0,0.00232,13.4076,0.00136,0.000237786,0.000237786,0.000237786
82,148.657,2.98223,3.11731,1.51348,0,0,0,0,0.00232,13.4076,0.00136,0.000229299,0.000229299,0.000229299
83,150.414,2.52147,2.88382,1.48192,0,0,0,0,0.00232,13.4076,0.00136,0.000220529,0.000220529,0.000220529
84,152.288,2.86958,3.15884,1.56323,0,0,0,0,0.00231,13.3424,0.00135,0.000211476,0.000211476,0.000211476
85,154.025,2.17251,2.6522,1.37864,0,0,0,0,0.00231,13.3424,0.00135,0.000202141,0.000202141,0.000202141
86,155.742,3.53396,3.63787,1.63786,0,0,0,0,0.00231,13.3424,0.00135,0.000192522,0.000192522,0.000192522
87,157.425,3.13477,3.54484,1.51456,0,0,0,0,0.00231,13.3424,0.00135,0.00018262,0.00018262,0.00018262
88,159.152,3.54462,3.31925,1.66441,0,0,0,0,0.00232,13.2754,0.00136,0.000172436,0.000172436,0.000172436
89,161.017,2.80749,3.15396,1.47526,0,0,0,0,0.00232,13.2754,0.00136,0.000161969,0.000161969,0.000161969
90,162.688,2.50248,3.29122,1.49385,0,0,0,0,0.00232,13.2754,0.00136,0.000151218,0.000151218,0.000151218
91,164.379,2.76251,4.04137,1.52575,0,0,0,0,0.00232,13.2754,0.00136,0.000140185,0.000140185,0.000140185
92,166.05,2.03551,3.39225,1.44957,0,0,0,0,0.00235,13.2029,0.00137,0.000128869,0.000128869,0.000128869
93,167.697,2.33206,3.77734,1.60428,0,0,0,0,0.00235,13.2029,0.00137,0.000117269,0.000117269,0.000117269
94,169.29,2.62679,3.7203,1.63094,0,0,0,0,0.00235,13.2029,0.00137,0.000105387,0.000105387,0.000105387
95,170.891,2.49312,4.01356,1.65964,0,0,0,0,0.00235,13.2029,0.00137,9.32222e-05,9.32222e-05,9.32222e-05
96,172.613,2.37386,3.69476,1.4888,0,0,0,0,0.00241,13.1319,0.00141,8.07742e-05,8.07742e-05,8.07742e-05
97,174.262,2.84503,4.03072,1.60532,0,0,0,0,0.00241,13.1319,0.00141,6.80433e-05,6.80433e-05,6.80433e-05
98,176.12,2.15091,3.51284,1.67336,0,0,0,0,0.00241,13.1319,0.00141,5.50294e-05,5.50294e-05,5.50294e-05
99,177.771,2.34871,3.58263,1.41364,0,0,0,0,0.00241,13.1319,0.00141,4.17325e-05,4.17325e-05,4.17325e-05
100,179.435,2.27197,3.59067,1.5183,0,0,0,0,0.00253,13.0537,0.00147,2.81527e-05,2.81527e-05,2.81527e-05
